,Unnamed: 0,id,text,sentiment
11,20,2055, нацбанк ставить себя приоритет снижение инфляция среднесрочный периодеалмат февраль интерфаксказахстан национальный банк казахстан ставить себя приоритет поэтапный снижение инфляция среднесрочный период сообщить глава нацбанк данияр акишевдлить получение полный текст публикация воспользоваться платный подписка,1
12,22,2059, антимонопольный орган наложить штраф астанаэнергосбыт нарушение законодательство передавать миа казинформ быть установленный факт нарушение астанаэнергосбыт подпункт пункт статья закон естественный монополия регулировать рынок который субъект естественный монополия запрещаться навязывать условие доступ регулировать услуга товар работа субъект естественный монополия совершать иной действие ведущий дискриминация потребитель отмечаться сообщение комитет регулирование естественный монополия защита конкуренция этот связь составить протокол привлечение административный ответственность астанаэнергосбыт часть статья коап департамент комитет согласно заявление товарищество порядок статья коап передать дело административный правонарушение рассмотрение специализировать межрайонный административный суд город астан постановление специализировать межрайонный административный суд наложить административный взыскание вид штраф размер месячный расчётный показатель что составлять тенг доход государство,0
13,23,2063, павлодарский область пройти конкурс хороший предприятие область охрана труд участник лидер признанный павлодарский нефтехимический завод завод пройти комплексный проверка получить положительный заключение комиссия критерий область охрана труд среди они организация системный работа охрана труд внедрение новый безопасный технология процесс оборудование выполнение коллективный договор соглашение охрана труд обеспечение работник спецодежда спецобувь средство индивидуальный защита наличие аттестация рабочий место условие труд соблюдение режим труд отдых работник страхование несчастный случай многий другоекр тот управление труд павлодарский область провести конкурс среди участник соблюдение требование безопасность охрана труд март апрель год рамка конкурс состояться соревнование противопожарный команда спортивный соревнование гиревой спорт армрестлинг итоговый семинарсовещание вопрос безопасность охрана труд выступление беседа презентациипавлодарский нефтехимический завод принять участие весь этот мероприятияхитог конкурс быть подвести канун всемирный день охрана труд почётный грамота который подтверждать статус пнхз как хороший предприятие охрана труд год павлодарский область представитель предприятие вручить заместитель аким регион николай дычкопнхз стать хороший сфера охрана труд среди организацийучастник конкурс который промышленный обойти алюминий казахстан богатырь комиро евроазиатский энергетический корпорация филиал тнк казхром многие другой курпный предприятие регионазавоевать титул региональный победитель коллектив завод подать документ участие республиканский конкурс безопасность охрана труд среди работодатель республика казахстан сенм,1
14,24,2068, старт серийный выпуск новый модель наметить декабрь текущий год казахстанский автосборочный завод азия авто входить состав холдинг бипэк авто азия авто приступить подготовка запуск производство новый модель седан кроссовер также универсал лифтбек сообщать подготовительный работа быть провести течение ноябрь совместно специалист автоваз соответствие стандарт качество альянс автоваз сообщить прессслужба компания азия автостарт серийный выпуск новый модель наметить декабрь текущий годаотметить что сегодняшний день база азия авто устькаменогорск выпускать три модель марка внедорожник седан универсал итог прошлое год азия авто продать тысяча автомобиль российский бренд территория республика чем подтвердить свой статус наиболее успешный участник казахстанский авторынок совокупный продажа автоваз российский экспортный рынок итог минувший год составить тысяча единица уточнить прессслужба компаниидобавить что один история автоваз компактный городской кроссовер конструкция автомобиль создать совместно специалист автоваз база платформа интеллектуальный система предотвращать занос автомобиль включать такой опция безопасность как усилитель экстренный торможение противобуксовочный система система распределение тормозной усилие автомобиль новый флагманский седан бренд рулевой управление тормозной система радиатор ряд другой компонент модель спроектировать база технологический решение один главный преимущество высокий степень безопасность каждый автомобиль оснастить система контроль устойчивость антиблокировочный система тормоз система помощь старт подъём подушка безопасность водитель три образный подголовник также функция автоматический запирание дверь движение,1
15,26,2071, суд зарегистрировать заявление казахстанский банкротство зерновой компания настюшамосква январь интерфаксафи арбитражный суд москва январь зарегистрировать заявление казахстанский банкротство ооо зерновой компания настюша следовать материал судадлить получение полный текст публикация воспользоваться платный подписка,0
16,28,2074, собственный капитал евразийский банка соответствие решение совет директор увеличить миллиард тенг такой образ уставный капитал банка вырастить регуляторный капитал превысить миллиард тенг результат коэффициент достаточность капитал евразийский банка теперь значительно превышать требование регулятор показатель увеличиться показатель вырастить общий количество разместить простой акция банка увеличиться штука решение увеличение капитал быть зафиксировать сентябрь протокол совет директор очередной увеличение капитал поспособствовать укрепление позиция евразийский рынок позволить держать прежний курс развитие банка уровень первоклассный финансовый институт благодаря поддержка акционер наш бизнесмодеть мы удаваться успешно преодолевать кризисный период сохранять доверие миллион наш клиент прокомментировать решение председатель правление член совет директор евразийский банка майкл эгглтон сообщение сайт,1
17,29,2080, астан декабрь астан участие министр инвестиция развитие республика казахстан жениса касымбек пройти четыре церемония награждение иностранный инвестор активный деятельность казахстан приурочить летие независимость мероприятие быть организовать национальный агентство экспорт инвестиция министерство инвестиция республика казахстан торжественный церемония пройти участие иностранный инвестор глава зарубежный дипломатический представительство деловой ассоциация организация инвестиционный активность быть отметить компания внести вклад индустриализация казахстан расширение инвестиционный деятельность развитие высокотехнологичный производство такой сектор экономика как агропромышленный комплекс пищевой промышленность нефтегазовый строительный индустрия автомобилестроение химический отрасль горнометаллургический комплекс транспортный инфраструктура награда министерство инвестиция развитие год получить следующий компания успешно работать казахстан один год двадцать год совместный предприятие разработка эксплуатация карачаганакский нефтегазовый месторождение итальянский производитель трубный продукция японский компания добыча переработка уран немецкий производитель строительный материал южнокорейский компания заниматься развитие экологически чистый вид топливо российский производитель жир эфко китайский фармацевтический компания турецкий компания производство кондитерский изделие известный казахстан название также быть наградить европейский банк реконструкция развитие инвестиционный активность развитие экономика казахстан ассоциация казахстанский совет иностранный инвестор вклад укрепление диалог между правительство иностранный инвестор сообщение сайт,1
18,32,2085, астан казинформ карим масим провести совещание вопрос деятельность актауский международный морской торговый порт,1
19,33,2086, сейчас вы смотреть объявление регион вы всегда мочь изменить регион поисканичий не найти актюбинский область нет ни один объявленияцен,0
22,37,2091, авто быть быть украина вчера суслов сообщение отмечаться что год действительно быть сократить модельный ряд автомобиль представить украина целое ряд объективный причина основный они стать сертификация продукция новый стандарт оон вступить сила январь год введение евро также отмена режим свободный торговля введение дополнительный антисубсидиционный спецпошлина результат стать временной приостановка поставка некоторый семейство отмечать прессслужба она дать настоящее время бренд представить украина внедорожник универсал согласно дать информационноаналитический группа год украина продать тысяча автомобиль что большой чем год ранее доля рынок новый легковой авто вырастить укравтоваз также поделиться план год частность сообщить что ближний время импортёр завершить омологация продукция автоваз украина возобновить поставка популярный модель начинать два квартал укравтоваз эксклюзивный дистрибьютор автомобиль оригинальный запасный часть работать рынок украина год согласно сообщение компания не являться ни дочерний компания автоваз ни другой российский бизнесструктура сохранить другой сми комментарий комментирование новость авторизоваться войти через социальный сеть,1
23,38,2092, сегодня октябрь центр оперативный управление город алматы поступить сообщение нападение охранник один отделение банка центркредит алмалинский район сообщать алматыдвое неустановленный лицо завладеть оружие охранник город объявить спецплан сирена проводиться комплекс оперативный мероприятие направить розыск задержание преступник,0
27,46,2100, инвестиционный убыток единственный страна пенсионный фонд составить почти девять миллиард тенг фонд уйти минус изменение курс валюта переоценка ценный бумага произойти это ещё декабрь однако информация финансовый потеря официальный сайт енпф появиться лишь недавно национальный банка где собственно решать сколько что вкладывать накопление казахстанец успокаивать отрицательный итог лишь один месяц двенадцать целое прошлый год сбережение будущий пенсионер вырастить миллиард инвестиционный доход составить почти восемь процент начать январь многие казахстанец обратить внимание что инвестдоход они счёт стать отрицательный настораживать значение выписка тогда тоже объяснить колебание курс валюта положительный показатель стать через несколько день рассматривать период значительный влияние доходность оказать отрицательный переоценка финансовый инструмент есть укрепление курс тенг доллар сша уровень тенг уровень тенг объяснить нуржан нургазин руководитель департамент национальный банка,0
28,47,2101, автодилер германия продать итог год автомобиль втрое большой позапрошлогодний писать портал ссылка дать немецкий организация это продажа автомобиль марка немецкий рынок целое вырастить процент автомобиль издание отмечать что большой часть продажа прийтись внедорожник год быть реализовать единица тольяттинский завод реализовать германия внедорожник цена самый дешёвый восьмиклапать мотор этот страна начинаться тысяча евро около тысяча рубль материал тема декабрь равнение экспорт как отечественный автопроизводитель намерить завоевать зарубежный рынок прошлое год продажа автомобиль германия вырастить процент миллион штука фон значительный спад российский авторынок который продолжаться протяжение последний год отечественный завод переориентироваться экспорт частность год автоваз планировать увеличить доля экспорт процент говорить ранее президент компания николя кроме тот тольяттинский холдинг собираться открывать собственный сборочный производство перспективный сбыт страна например иран ульяновский автозавод начать наращивать экспорт ещё метр прошлый год суметь нарастить доля экспортный продажа процент серьёзный усилие наращивание экспорт предпринимать камаз,1
31,52,2106, месторождение ансаган атырауск область обнаружить богатый залежь лёгкий нефть газа сообщить прессслужба министерство энергетика казахстан передавать казтагминистерство энергетика сообщать обнаружение залежь лёгкий нефть газа девонский отложение подсолевой поднятие ансаган месторождение ансаган расположить жылыойский район атырауск область выявить нефтегазоносный горизонт залегать относительно глубокий чем тенгизский месторождение говориться распространить понедельник сообщениивозможный запас месторождение оцениваться высоко планировать большой объесть геологоразведочный работа направить подтверждение прогнозировать ресурс углеводород указать сообщениитакж сообщаться что получение высокий дебетовый лёгкий нефть ансаган подтверждать высокий ресурсный потенциал подсолевой отложение больший глубина указанный территориить перспектива планироваться проведение оценочный работа месторождение ансаган расширение геологоразведочный работа весь контрактный территория постановка поисковоразведочный бурение перспективный площадь максат прорва глубокий подтвердить детальный сейсморазведочный исследование проинформировать минэнерг прессслужба министерство напомнить что февраль год быть подписать контракт алмэкс плюс право недропользование проведение разведка углеводородный сырьё подсолевой отложение атырауск мангистауск область исключение надсолевой структура месторождение участкеплощадь геологический отвод составлять квкм,1
32,55,2109, программа самруказын мена создать социальный инфраструктура регион ноябрь самруказын летие независимость запустить программа социальный инвестиция регион присутствие мена цель программа являться повышение качество жизнь регионахпо мнение заместитель председатель правление атамекен мурат абен программа социальный инвестиция мена создать социальный инфраструктура обеспечить рост качественный уровень жизнь регионахнетрудный построить спортивный площадка астан который затем можно быть презентовать большой количество высокопоставленный чиновник уверенный что простой человек такой проект мало прок программа мена замечательный что реконструироваться создаваться социальный инфраструктура регион который пользоваться не только работник предприятие входящая группа самруказын весь житель это регион сказать мурат абеновао самруказын летие независимость запустить программа социальный инвестиция регион присутствие мена цель программа являться повышение качество жизнь регион расширение доступ житель качественный городской среда образование медицина культурный объект программа охватить регион казахстан который представить добывать перерабатывать компания холдинг самруказын первое этап год программа охватить акмолинский павлодарский мангыстауский область последующий год ещё область страна реализация проект планироваться ежегодно выделять миллиард тенг администратор программа выступить фонд развитие социальный проект рамка программа мена проводить конкурс проект список который проходить через рука экспертноконсультативный совет самый главный решение приниматься учёт мнение местный население добавить онести вы обнаружить ошибка опечатка выделить фрагмент текст ошибка нажать ссылка сообщить ошибка сообщить ошибка,1
